Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2014,11,16,23:59:40,36.9386,140.6435,36.8,4.2,"19km NNW of Kitaibaraki, Japan",1416182380
2014,11,16,15:33:57,29.2938,139.5527,407.4,4,"Izu Islands, Japan region",1416152037
2014,11,16,08:51:24,34.9801,138.8492,162.6,4.2,"7km ENE of Heda, Japan",1416127884
2014,11,16,07:26:10,46.2227,150.4661,47.8,4.7,"229km ENE of Kuril'sk, Russia",1416122770
2014,11,15,17:40:31,43.2604,144.3231,134,4.4,"31km N of Kushiro, Japan",1416073231
2014,11,15,10:20:54,37.0309,141.6229,45.2,4.5,"65km E of Iwaki, Japan",1416046854
2014,11,15,01:42:06,27.1127,130.0176,29.3,4.2,"148km SSE of Naze, Japan",1416015726
2014,11,15,00:56:43,38.1567,142.02,55.3,4.5,"69km ESE of Ishinomaki, Japan",1416013003
2014,11,15,00:32:34,45.2946,151.2303,35,4.7,"262km E of Kuril'sk, Russia",1416011554
2014,11,14,04:16:07,45.2068,150.9658,20,5.3,"242km E of Kuril'sk, Russia",1415938567
2014,11,13,19:47:49,43.6546,144.5088,22.3,4.1,"37km ESE of Bihoro, Japan",1415908069
2014,11,13,15:56:39,36.7689,140.7834,39.9,4.5,"3km ESE of Kitaibaraki, Japan",1415894199
2014,11,13,02:45:48,30.4577,132.3955,30.8,4.5,"137km ESE of Nishinoomote, Japan",1415846748
2014,11,12,23:37:31,43.2116,145.4735,68.9,4.3,"14km SSW of Nemuro, Japan",1415835451
2014,11,12,11:04:48,33.0208,140.6623,66.2,5.1,"80km E of Hachijo-jima, Japan",1415790288
2014,11,12,03:05:18,38.8492,142.0585,54.1,4.5,"38km SE of Ofunato, Japan",1415761518
2014,11,12,01:42:25,43.7725,145.0774,121.8,4.2,"13km NNW of Shibetsu, Japan",1415756545
2014,11,12,01:13:57,34.2559,135.6032,62.4,4.6,"5km NNW of Koya, Japan",1415754837
2014,11,12,00:53:28,36.1199,140.1107,68.5,4.8,"8km S of Tsukuba, Japan",1415753608
2014,11,11,23:23:48,43.0045,138.2745,241.1,4.6,"182km W of Iwanai, Japan",1415748228
2014,11,11,14:59:09,52.7006,152.7816,496.2,4.1,"288km WNW of Ozernovskiy, Russia",1415717949
2014,11,11,14:34:41,52.6625,152.7189,504.8,4.7,"290km WNW of Ozernovskiy, Russia",1415716481
2014,11,11,13:56:40,23.6063,144.3976,35.5,4.6,"Volcano Islands, Japan region",1415714200
2014,11,11,10:25:51,36.8356,139.4274,118.6,4.6,"19km WNW of Nikko, Japan",1415701551
2014,11,11,06:49:04,37.4718,143.7204,10,4.5,"237km ESE of Ishinomaki, Japan",1415688544
2014,11,10,09:37:08,45.8359,150.5044,104.2,4.5,"215km ENE of Kuril'sk, Russia",1415612228
2014,11,10,09:26:37,46.9385,152.7628,85.7,4,"Kuril Islands",1415611597
2014,11,10,03:43:51,28.679,143.3489,32.2,4.5,"209km NNE of Chichi-shima, Japan",1415591031
2014,11,09,20:55:27,34.1403,140.4172,42.5,4.4,"106km SSE of Tateyama, Japan",1415566527
2014,11,09,16:12:00,31.2782,130.3672,154.2,4.1,"4km ENE of Makurazaki, Japan",1415549520
2014,11,08,19:29:10,43.7578,147.7761,23.8,4.4,"85km E of Shikotan, Russia",1415474950
2014,11,08,16:09:42,46.3721,150.9243,111.9,4.5,"268km ENE of Kuril'sk, Russia",1415462982
2014,11,08,12:09:30,38.7985,142.0129,61.9,4.5,"39km SE of Ofunato, Japan",1415448570
2014,11,08,04:10:42,34.1717,141.5642,36.5,4.1,"157km SE of Katsuura, Japan",1415419842
2014,11,07,23:54:22,37.804,142.299,42.4,5.1,"110km SE of Ishinomaki, Japan",1415404462
2014,11,07,21:38:07,28.3421,141.5853,45.7,4.6,"152km NNW of Chichi-shima, Japan",1415396287
2014,11,07,14:12:57,34.4429,139.8466,35,4.2,"59km S of Tateyama, Japan",1415369577
2014,11,06,17:21:26,34.281,141.7125,37.6,4.2,"160km SE of Katsuura, Japan",1415294486
2014,11,06,12:05:04,25.5092,144.7053,19.9,4.5,"Volcano Islands, Japan region",1415275504
2014,11,05,14:01:05,42.6455,145.8045,38.4,4.8,"77km SSE of Nemuro, Japan",1415196065
2014,11,05,09:27:32,25.8105,142.2981,35,4.5,"141km S of Chichi-shima, Japan",1415179652
2014,11,05,01:50:19,37.4321,141.8184,54.6,4.4,"72km E of Namie, Japan",1415152219
2014,11,04,17:27:22,25.6252,141.3112,51.4,4.8,"93km N of Iwo Jima, Japan",1415122042
2014,11,04,14:10:13,35.9792,141.0245,38.2,4.3,"32km NNE of Hasaki, Japan",1415110213
2014,11,03,13:34:00,34.1848,141.0893,42.4,4.6,"127km SE of Katsuura, Japan",1415021640
2014,11,03,02:47:00,25.6499,128.4807,10,4.6,"96km ESE of Itoman, Japan",1414982820
2014,11,03,02:28:07,42.5667,141.769,37,4.7,"15km ESE of Tomakomai, Japan",1414981687
2014,11,03,02:20:45,39.7067,143.5866,35,4.6,"140km E of Miyako, Japan",1414981245
2014,11,03,00:10:53,39.9133,143.4297,35.7,4.9,"130km ENE of Miyako, Japan",1414973453
2014,11,02,14:14:41,38.3373,142.7294,19.8,4.3,"120km SE of Ofunato, Japan",1414937681
2014,11,02,09:23:18,47.7563,147.2108,401,4.1,"179km SW of Vostok, Russia",1414920198
2014,11,02,08:41:38,40.5326,141.5386,106.7,4.5,"4km NE of Hachinohe, Japan",1414917698
2014,11,02,05:13:48,26.9279,143.9851,10,4.6,"176km E of Chichi-shima, Japan",1414905228
2014,11,02,05:05:58,26.9603,143.9663,10,4.8,"174km E of Chichi-shima, Japan",1414904758
2014,11,02,05:02:06,36.4418,141.3421,44.5,4.2,"63km ESE of Takahagi, Japan",1414904526
2014,11,01,12:08:41,46.188,152.965,10,4.8,"Kuril Islands",1414843721
2014,11,01,10:36:27,33.6533,131.9462,74,4.5,"22km ENE of Kunisaki-shi, Japan",1414838187
2014,11,01,08:30:05,41.5857,137.7717,277.3,4.3,"235km WNW of Kizukuri, Japan",1414830605
2014,11,01,07:47:45,41.9403,142.4703,52.2,4.7,"44km S of Shizunai, Japan",1414828065
2014,11,01,05:44:57,33.856,142.5355,10,4.7,"249km SE of Katsuura, Japan",1414820697
2014,10,31,20:36:35,28.2107,141.9443,40.6,4.6,"127km NNW of Chichi-shima, Japan",1414787795
2014,10,31,16:11:39,28.6792,143.3343,35,4.5,"208km NNE of Chichi-shima, Japan",1414771899
2014,10,31,06:33:32,40.1652,142.4054,43.3,4.7,"70km NNE of Miyako, Japan",1414737212
2014,10,31,06:18:37,28.7943,130.8218,15.1,4.4,"139km ENE of Naze, Japan",1414736317
2014,10,30,20:34:09,44.5458,141.487,247.8,4,"69km N of Rumoi, Japan",1414701249
2014,10,29,07:29:51,41.5052,142.0391,68.9,4.3,"72km ENE of Mutsu, Japan",1414567791
2014,10,29,04:20:32,29.1567,130.7101,50.9,4.3,"148km NE of Naze, Japan",1414556432
2014,10,28,22:50:35,27.2061,140.2435,477.5,4.6,"196km W of Chichi-shima, Japan",1414536635
2014,10,28,17:37:27,36.1202,141.1505,17.2,4.5,"48km ENE of Kashima-shi, Japan",1414517847
2014,10,28,14:11:31,50.5822,156.3867,88.2,4.3,"21km ESE of Severo-Kuril'sk, Russia",1414505491
2014,10,27,11:47:11,32.3049,141.8541,3.5,4.6,"211km ESE of Hachijo-jima, Japan",1414410431
2014,10,27,07:59:20,44.4408,147.976,90.4,4.5,"88km S of Kuril'sk, Russia",1414396760
2014,10,27,06:36:24,35.8148,140.1114,71.7,4.7,"4km ENE of Shiroi, Japan",1414391784
2014,10,27,04:32:59,40.7159,141.943,81.2,4.6,"44km ENE of Hachinohe, Japan",1414384379
2014,10,27,04:16:15,38.8601,141.9155,67.7,4.4,"29km SE of Ofunato, Japan",1414383375
2014,10,27,04:02:57,40.6457,142.6868,55,4.6,"101km E of Hachinohe, Japan",1414382577
2014,10,26,01:22:56,44.2351,147.5925,74.8,4.5,"84km NE of Shikotan, Russia",1414286576
2014,10,25,13:38:34,48.2584,155.1064,48.8,4.3,"279km SSW of Severo-Kuril'sk, Russia",1414244314
2014,10,25,10:02:23,29.6752,129.5664,163.6,4.4,"145km N of Naze, Japan",1414231343
2014,10,25,09:14:06,27.1184,140.3196,451.3,4.2,"188km W of Chichi-shima, Japan",1414228446
2014,10,25,01:18:29,33.5143,138.3603,292.2,4.1,"121km S of Oyama, Japan",1414199909
2014,10,25,01:02:20,29.1007,130.1696,53.4,4.1,"105km NE of Naze, Japan",1414198940
2014,10,24,14:10:06,26.4684,142.0471,22.6,4.4,"70km SSW of Chichi-shima, Japan",1414159806
2014,10,24,10:56:13,35.4505,141.5157,17.9,4.5,"69km ESE of Hasaki, Japan",1414148173
2014,10,24,07:31:54,45.5469,149.1544,174.8,4.3,"105km ENE of Kuril'sk, Russia",1414135914
2014,10,24,03:34:12,42.3128,143.1977,62.7,4.1,"67km S of Obihiro, Japan",1414121652
2014,10,23,20:17:50,29.9093,138.8057,400.3,4,"Izu Islands, Japan region",1414095470
2014,10,23,19:30:42,36.4281,141.0169,38.2,4.5,"37km ESE of Hitachi, Japan",1414092642
2014,10,23,03:22:33,40.3634,141.3874,81.5,4.4,"17km SSW of Hachinohe, Japan",1414034553
2014,10,23,02:06:07,31.0976,141.7072,40.2,4.2,"284km SE of Hachijo-jima, Japan",1414029967
2014,10,22,18:39:00,30.4939,131.2852,43.4,4,"38km SE of Nishinoomote, Japan",1414003140
2014,10,22,00:20:44,40.5602,142.5123,56.5,4.2,"86km E of Hachinohe, Japan",1413937244
2014,10,22,00:15:17,27.4158,128.5533,43,5.8,"108km NNE of Nago, Japan",1413936917
2014,10,21,20:55:53,27.0302,127.4559,106.8,4.7,"71km NW of Nago, Japan",1413924953
2014,10,21,13:39:00,30.3769,138.2594,434.6,4.2,"Izu Islands, Japan region",1413898740
2014,10,20,23:53:50,38.2604,142.1006,35,4,"72km ESE of Ishinomaki, Japan",1413849230
2014,10,19,19:09:52,26.7621,129.6226,28.8,4.8,"165km E of Nago, Japan",1413745792
2014,10,19,15:45:25,44.1699,149.1827,36.7,4.6,"156km SE of Kuril'sk, Russia",1413733525
2014,10,19,12:01:58,36.7855,141.9648,20.5,4.4,"100km ESE of Iwaki, Japan",1413720118
2014,10,19,08:51:17,30.9433,141.9129,11,4.7,"Izu Islands, Japan region",1413708677
2014,10,19,08:15:51,49.744,153.2852,220.6,4.1,"227km WSW of Severo-Kuril'sk, Russia",1413706551
2014,10,18,22:46:21,22.0876,143.9127,201,4.1,"199km NNW of Farallon de Pajaros, Northern Mariana Islands",1413672381
2014,10,18,20:25:35,36.6946,141.5053,37.7,4.4,"68km SE of Iwaki, Japan",1413663935
2014,10,18,17:29:40,44.5752,149.1766,55.3,4.7,"125km SE of Kuril'sk, Russia",1413653380
2014,10,18,02:03:24,38.8524,142.1125,64.1,4.2,"42km SE of Ofunato, Japan",1413597804
2014,10,17,19:18:20,29.5783,128.4674,22.2,4.5,"166km NW of Naze, Japan",1413573500
2014,10,17,19:17:26,29.7876,128.6024,44.6,4.2,"179km NNW of Naze, Japan",1413573446
2014,10,17,18:45:11,29.6255,128.7225,45.6,4.5,"157km NNW of Naze, Japan",1413571511
2014,10,17,18:00:22,36.1827,139.3533,148.5,4.3,"4km SW of Menuma, Japan",1413568822
2014,10,17,17:41:34,29.7016,128.518,41.3,5,"175km NNW of Naze, Japan",1413567694
2014,10,17,17:20:53,26.7359,140.4766,492.6,4.3,"177km WSW of Chichi-shima, Japan",1413566453
2014,10,17,09:58:31,36.0186,140.9407,36.7,4.6,"27km ENE of Kashima-shi, Japan",1413539911
2014,10,16,18:58:10,49.4301,155.4669,67.5,4.6,"146km SSW of Severo-Kuril'sk, Russia",1413485890
2014,10,16,07:50:23,34.6343,141.1904,35,4.2,"98km SE of Katsuura, Japan",1413445823
2014,10,16,03:29:16,34.776,141.0226,34.3,4.2,"76km ESE of Katsuura, Japan",1413430156
2014,10,15,23:53:02,31.7863,140.5047,60,5.5,"158km SSE of Hachijo-jima, Japan",1413417182
2014,10,15,19:39:36,33.6742,132.6513,50,4.1,"9km SSW of Iyo, Japan",1413401976
2014,10,15,15:25:15,23.8739,142.3641,35,4.2,"145km SE of Iwo Jima, Japan",1413386715
2014,10,15,14:05:48,39.2112,142.3793,10,4.3,"43km E of Kamaishi, Japan",1413381948
2014,10,15,08:44:49,44.1302,149.1219,20.5,5,"157km SE of Kuril'sk, Russia",1413362689
2014,10,15,08:26:36,44.0621,149.2902,50.7,4.1,"171km SE of Kuril'sk, Russia",1413361596
2014,10,15,07:06:49,44.1028,149.161,47.7,4.7,"161km SE of Kuril'sk, Russia",1413356809
2014,10,15,04:47:16,43.9273,149.3956,39.5,4.3,"188km SE of Kuril'sk, Russia",1413348436
2014,10,15,03:51:16,38.5725,141.6264,61.4,4.7,"33km ENE of Ishinomaki, Japan",1413345076
2014,10,14,22:52:08,26.2531,127.4224,34.7,5.3,"26km W of Naha-shi, Japan",1413327128
2014,10,14,18:08:45,40.9297,143.2338,29.3,5,"154km ENE of Hachinohe, Japan",1413310125
2014,10,14,14:59:26,23.4826,142.1614,94.8,4.8,"166km SSE of Iwo Jima, Japan",1413298766
2014,10,13,21:24:58,40.9721,141.7329,70.9,4.7,"44km NE of Misawa, Japan",1413235498
2014,10,13,20:25:28,40.9017,142.3623,70.1,4.1,"85km ENE of Hachinohe, Japan",1413231928
2014,10,13,15:41:19,36.2106,140.9481,34.5,4.6,"33km ESE of Oarai, Japan",1413214879
2014,10,12,13:44:41,30.3774,141.7147,26.1,4.3,"Izu Islands, Japan region",1413121481
2014,10,12,06:00:43,35.2568,140.0014,111.7,4.4,"12km SE of Kimitsu, Japan",1413093643
2014,10,12,03:28:20,27.6457,140.7396,479.9,4,"158km WNW of Chichi-shima, Japan",1413084500
2014,10,12,01:57:53,40.7537,143.5438,7.5,4.1,"175km E of Hachinohe, Japan",1413079073
2014,10,11,20:28:08,35.6642,140.8939,22.8,4.5,"9km SE of Hasaki, Japan",1413059288
2014,10,11,10:05:42,40.9867,143.105,36.3,4.7,"145km ENE of Hachinohe, Japan",1413021942
2014,10,11,09:58:10,40.8383,143.1698,32.7,4.5,"146km ENE of Hachinohe, Japan",1413021490
2014,10,11,05:20:35,40.9544,143.0805,20,5.4,"142km ENE of Hachinohe, Japan",1413004835
2014,10,11,02:35:47,41.0272,143.1649,22,6.1,"152km ENE of Hachinohe, Japan",1412994947
2014,10,10,22:52:45,45.2973,150.2405,62.4,4.6,"185km E of Kuril'sk, Russia",1412981565
2014,10,10,20:16:57,36.4853,142.4856,35,4.7,"156km ESE of Iwaki, Japan",1412972217
2014,10,10,18:27:24,30.7203,141.7407,19.6,4.8,"Izu Islands, Japan region",1412965644
2014,10,10,18:25:38,22.3095,143.526,66.7,4.5,"242km NW of Farallon de Pajaros, Northern Mariana Islands",1412965538
2014,10,10,12:27:26,44.0693,149.1667,28.6,4.6,"164km SE of Kuril'sk, Russia",1412944046
2014,10,10,10:41:26,33.4532,141.9157,22.1,4.4,"201km ENE of Hachijo-jima, Japan",1412937686
2014,10,10,08:22:07,39.0297,142.069,65.5,4.6,"30km SSE of Kamaishi, Japan",1412929327
2014,10,10,07:37:22,44.2015,149.1486,45.4,4.6,"152km SE of Kuril'sk, Russia",1412926642
2014,10,10,07:33:07,44.1831,149.0673,29.2,5.1,"149km SE of Kuril'sk, Russia",1412926387
2014,10,10,04:59:50,42.4852,142.0492,119.9,4,"31km WNW of Shizunai, Japan",1412917190
2014,10,09,22:23:28,44.5076,149.4105,35.5,4.6,"145km ESE of Kuril'sk, Russia",1412893408
2014,10,09,16:16:06,39.5351,143.7572,38.3,4.3,"155km E of Miyako, Japan",1412871366
2014,10,09,13:01:27,36.7327,141.4678,47.1,4.4,"62km SE of Iwaki, Japan",1412859687
2014,10,09,12:17:40,43.6077,139.4959,211.9,4.6,"108km NW of Iwanai, Japan",1412857060
2014,10,08,11:43:57,22.0934,142.8918,129,4.4,"270km NW of Farallon de Pajaros, Northern Mariana Islands",1412768637
2014,10,07,20:10:25,42.679,143.5426,125.1,4.2,"38km SE of Obihiro, Japan",1412712625
2014,10,07,19:07:33,36.4139,143.2694,34.3,4.8,"224km ESE of Iwaki, Japan",1412708853
2014,10,07,14:06:55,23.4943,143.171,44.3,4.4,"235km SE of Iwo Jima, Japan",1412690815
2014,10,07,01:34:00,39.0687,144.5059,43.1,4.1,"224km E of Yamada, Japan",1412645640
2014,10,06,17:52:03,27.7416,141.7918,40.8,4.5,"84km NNW of Chichi-shima, Japan",1412617923
2014,10,06,12:06:29,34.0985,136.8656,353.7,4,"42km S of Toba, Japan",1412597189
2014,10,06,06:37:58,38.2524,142.0632,35,4.6,"69km ESE of Ishinomaki, Japan",1412577478
2014,10,06,06:33:59,27.283,130.1975,23.5,4.5,"139km SSE of Naze, Japan",1412577239
2014,10,05,23:49:41,44.4288,148.1104,105.9,4.3,"91km SSE of Kuril'sk, Russia",1412552981
2014,10,05,22:00:58,30.8236,142.249,38.2,4.3,"Izu Islands, Japan region",1412546458
2014,10,05,21:28:46,49.138,153.9608,113.7,4.4,"231km SW of Severo-Kuril'sk, Russia",1412544526
2014,10,05,15:09:16,37.4722,141.297,51.9,4.6,"26km E of Namie, Japan",1412521756
2014,10,05,11:05:29,38.8972,144.3508,22.3,4.6,"216km ESE of Yamada, Japan",1412507129
2014,10,05,08:11:37,26.6871,129.7593,21.1,4.6,"177km E of Nago, Japan",1412496697
2014,10,04,21:28:22,26.8064,142.5272,33.5,4.7,"43km SE of Chichi-shima, Japan",1412458102
2014,10,04,17:50:32,31.4106,141.6044,10,4.5,"251km SE of Hachijo-jima, Japan",1412445032
2014,10,04,00:34:00,44.6057,147.9509,98.1,5,"69km S of Kuril'sk, Russia",1412382840
2014,10,03,14:58:28,48.585,153.4223,153.8,4.5,"Kuril Islands",1412348308
2014,10,03,03:21:12,29.8365,139.1654,389.8,4.3,"Izu Islands, Japan region",1412306472
2014,10,03,00:57:30,40.1565,142.7657,30,5.5,"90km NE of Miyako, Japan",1412297850
2014,10,02,22:52:15,27.4538,128.5073,60.9,4.5,"109km NNE of Nago, Japan",1412290335
2014,10,02,15:04:08,43.3124,137.9068,268.5,4.1,"198km SE of Kamenka, Russia",1412262248
2014,10,02,12:57:05,52.3188,158.0527,143,5.7,"71km S of Paratunka, Russia",1412254625
2014,10,02,05:32:36,38.4099,141.8047,52.5,4.6,"44km E of Ishinomaki, Japan",1412227956
2014,10,01,23:24:49,34.3479,137.1169,344.8,4.1,"28km ESE of Toba, Japan",1412205889
2014,10,01,18:06:58,26.7797,129.9067,32.3,4.6,"180km SSE of Naze, Japan",1412186818
2014,10,01,13:33:04,26.1777,128.796,29.5,4.4,"93km ESE of Nago, Japan",1412170384
2014,10,01,09:17:28,27.6856,139.8616,480.9,4.4,"242km WNW of Chichi-shima, Japan",1412155048
2014,10,01,04:12:59,31.9327,141.8633,24.8,4.2,"232km ESE of Hachijo-jima, Japan",1412136779
2014,10,01,02:41:01,52.1881,151.7961,548.6,4.8,"Sea of Okhotsk",1412131261
2014,10,01,00:29:19,28.306,139.3424,510,4.2,"Bonin Islands, Japan region",1412123359
2014,09,30,10:32:24,44.4582,141.4039,242.4,4.2,"61km NNW of Rumoi, Japan",1412073144
2014,09,30,00:41:56,32.3206,141.834,10,4.5,"208km ESE of Hachijo-jima, Japan",1412037716
2014,09,29,14:55:57,29.3621,140.3587,40.8,4.8,"Izu Islands, Japan region",1412002557
2014,09,29,14:52:47,26.9564,143.9631,11.4,4.6,"173km E of Chichi-shima, Japan",1412002367
2014,09,29,12:16:21,32.1939,141.7329,30.8,4.4,"206km ESE of Hachijo-jima, Japan",1411992981
2014,09,29,08:31:30,32.219,141.8356,10,4.4,"213km ESE of Hachijo-jima, Japan",1411979490
2014,09,29,01:05:37,41.9245,144.4174,22.6,4.9,"116km S of Kushiro, Japan",1411952737
2014,09,28,06:09:31,36.1824,140.1195,52.2,4.5,"2km SE of Tsukuba, Japan",1411884571
2014,09,28,01:15:33,25.0297,141.9957,79.5,4.2,"72km ENE of Iwo Jima, Japan",1411866933
2014,09,27,14:29:14,22.4759,142.9355,178.4,4,"295km NW of Farallon de Pajaros, Northern Mariana Islands",1411828154
2014,09,26,15:35:30,37.2018,136.7764,49.8,4.3,"23km NW of Nanao, Japan",1411745730
2014,09,26,08:49:45,41.602,142.0917,67.2,4.5,"80km ENE of Mutsu, Japan",1411721385
2014,09,26,03:15:27,24.1042,145.4477,20.3,4,"East of the Volcano Islands",1411701327
2014,09,25,11:50:00,49.0159,150.8491,320.2,4.4,"143km E of Vostok, Russia",1411645800
2014,09,25,11:12:01,42.6762,143.3608,103.2,4.3,"29km SSE of Obihiro, Japan",1411643521
2014,09,25,04:25:45,42.014,142.4878,68.6,4.6,"36km SSE of Shizunai, Japan",1411619145
2014,09,24,22:29:25,35.0716,141.4264,24.7,4.5,"91km SE of Hasaki, Japan",1411597765
2014,09,24,21:21:11,23.5342,143.3612,10.3,4.5,"248km ESE of Iwo Jima, Japan",1411593671
2014,09,24,13:30:57,37.5477,141.3659,53.1,5.1,"33km ENE of Namie, Japan",1411565457
2014,09,24,12:45:46,37.5179,141.3349,51,5.2,"29km E of Namie, Japan",1411562746
